iter	RMSE
0	0.18814243
1	0.1832825019
2	0.1777693668
3	0.1737849891
4	0.1693275794
5	0.165029996
6	0.1614968586
7	0.1573256313
8	0.1532226533
9	0.1496676273
10	0.1460234037
11	0.1425429379
12	0.1395480346
13	0.1359109663
14	0.1322546346
15	0.1288838846
16	0.1255786545
17	0.1220659852
18	0.1189959106
19	0.1156770671
20	0.1128886698
21	0.1103129367
22	0.1075022154
23	0.1053846285
24	0.1030599664
25	0.100789949
26	0.09836315392
27	0.09614317158
28	0.09381034943
29	0.09203099653
30	0.08991033979
31	0.08768502594
32	0.0854354036
33	0.08363305859
34	0.08157814259
35	0.07996199105
36	0.07804250544
37	0.07623744612
38	0.07465175741
39	0.07285131086
40	0.0711436269
41	0.06964907928
42	0.06860478191
43	0.06713305801
44	0.06560876384
45	0.06454717969
46	0.06364040912
47	0.06222239737
48	0.06073122967
49	0.05940301701
50	0.05804088189
51	0.05674017097
52	0.05553339765
53	0.05459197169
54	0.0534308703
55	0.05230955885
56	0.05126273079
57	0.05003682939
58	0.04916686838
59	0.04811323769
60	0.0472601905
61	0.04647799247
62	0.04552354996
63	0.04493160678
64	0.04391879057
65	0.04313715964
66	0.04266117575
67	0.04168467896
68	0.04084263965
69	0.04010913585
70	0.03928761246
71	0.03865903823
72	0.03783130436
73	0.03759556384
74	0.036809038
75	0.03626643801
76	0.0355549235
77	0.03503997905
78	0.03454578552
79	0.03395791725
80	0.03328461902
81	0.03296611337
82	0.0325586604
83	0.03222408368
84	0.0320019283
85	0.03152822762
86	0.03104641189
87	0.03058246043
88	0.03032659713
89	0.02983699301
90	0.02945405614
91	0.02893155275
92	0.02854795484
93	0.02800167836
94	0.02756534943
95	0.02712635221
96	0.02671083909
97	0.02652310483
98	0.02633381902
99	0.02615394467
100	0.02598491053
101	0.02582582923
102	0.02539221063
103	0.02522230788
104	0.02485979865
105	0.02467690828
106	0.0245253277
107	0.02432768783
108	0.02415908249
109	0.02401014845
110	0.02357731085
111	0.02327607212
112	0.02310364656
113	0.02296743171
114	0.02258448921
115	0.02246081695
116	0.0220873409
117	0.02192301064
118	0.02178711789
119	0.0216479227
120	0.02151125138
121	0.02128898897
122	0.02113244203
123	0.02080938578
124	0.02067703192
125	0.02055018848
126	0.02013296698
127	0.019993313
128	0.01985667776
129	0.0196997094
130	0.01954809039
131	0.01925728621
132	0.01893563156
133	0.01860039199
134	0.01847771684
135	0.01834895122
136	0.01824624293
137	0.01814505143
138	0.01804354648
139	0.01779308833
140	0.01769549415
141	0.0173698831
142	0.01711068709
143	0.01701045814
144	0.01692017745
145	0.01662001505
146	0.01653369951
147	0.01641779832
148	0.01633347253
149	0.01609318073
150	0.01601014779
151	0.0157208105
152	0.01546461992
153	0.01528346725
154	0.01517522365
155	0.01506991695
156	0.01482647938
157	0.0147516709
158	0.01466328417
159	0.01458495222
160	0.01451412729
161	0.0143483395
162	0.01411472451
163	0.0140409354
164	0.01395056628
165	0.01375796214
166	0.01369313955
167	0.01362963764
168	0.01340426758
169	0.01333736842
170	0.01318609181
171	0.01312169444
172	0.01295236941
173	0.01289110018
174	0.01282820467
175	0.01262455983
176	0.01246015888
177	0.0124006581
178	0.01234335669
179	0.01221206367
180	0.01211248995
181	0.01206286818
182	0.0118677594
183	0.01181541187
184	0.01167530137
185	0.0116235662
186	0.0115675022
187	0.01140683213
188	0.01131620993
189	0.01126305063
190	0.01121609673
191	0.0110650816
192	0.01101003583
193	0.01092710026
194	0.01088312251
195	0.01074123217
196	0.01069376714
197	0.01063437756
198	0.01048395343
199	0.01043931975
200	0.01039200532
201	0.01022975557
202	0.01018702323
203	0.01014807882
204	0.01010698964
205	0.009938643973
206	0.009777369196
207	0.009734909804
208	0.009685958566
209	0.009648246292
210	0.009503841595
211	0.009469570005
212	0.009433533429
213	0.009403973636
214	0.009262969718
215	0.009225537511
216	0.009191531229
217	0.009050528932
218	0.009014851698
219	0.008988039052
220	0.008863911998
221	0.008830029492
222	0.008685749093
223	0.008660519143
224	0.008635824989
225	0.008490003747
226	0.008389056929
227	0.00836529233
228	0.008254608967
229	0.008158947909
230	0.008054018892
231	0.007963132333
232	0.007863684947
233	0.007832659262
234	0.007737954547
235	0.00764722475
236	0.007563367027
237	0.007477460168
238	0.007381819988
239	0.007358971573
240	0.007281760776
241	0.007217821883
242	0.007196199492
243	0.007087755889
244	0.007062252003
245	0.006959735368
246	0.006872762373
247	0.006855474422
248	0.006768040822
249	0.006744236169
250	0.006651647754
251	0.006586838244
252	0.006570593372
253	0.006482525823
254	0.006430634668
255	0.006362102212
256	0.006346651965
257	0.00631243678
258	0.006297539295
259	0.006207115983
260	0.006189940169
261	0.006150922421
262	0.006136945281
263	0.006041040509
264	0.005995883597
265	0.005979442268
266	0.00592382823
267	0.005907751514
268	0.005837503878
269	0.00578328253
270	0.005766074184
271	0.005706262858
272	0.005691138268
273	0.005676365178
274	0.005595547623
275	0.005517023311
276	0.005502947694
277	0.005489216399
278	0.005475813562
279	0.005403072853
280	0.005340665371
281	0.005281975173
282	0.005233762305
283	0.005178727922
284	0.005122343026
285	0.00509125158
286	0.005053571186
287	0.005000285544
288	0.004958121533
289	0.004916242122
290	0.004890153614
291	0.004842435213
292	0.004819394544
293	0.004776417749
294	0.00472749523
295	0.004657824564
296	0.004633465508
297	0.004588492539
298	0.004551117016
299	0.004504977934
300	0.004457983256
301	0.004437873581
302	0.004408862417
303	0.00436094249
304	0.00433445474
305	0.004314836421
306	0.004272176817
307	0.004208653157
308	0.004183405419
309	0.004164895875
310	0.004132419684
311	0.004106099665
312	0.004048027459
313	0.004009206943
314	0.003951581142
315	0.003917295603
316	0.003887333051
317	0.003874138661
318	0.003842186983
319	0.003789767095
320	0.003771147569
321	0.003760285458
322	0.003737788822
323	0.003690440191
324	0.003638962695
325	0.003627070963
326	0.003609967535
327	0.003598218916
328	0.003564920534
329	0.003521004438
330	0.00350739026
331	0.003479703252
332	0.003461955035
333	0.003417163225
334	0.003395084782
335	0.003385854693
336	0.003347308383
337	0.00332860864
338	0.003293432278
339	0.003281212242
340	0.003241390465
341	0.003230250525
342	0.003219435277
343	0.003190999935
344	0.003169220514
345	0.00313394376
346	0.003102932223
347	0.003080795131
348	0.003048091257
349	0.00303100535
350	0.002993401596
351	0.002977277898
352	0.002936204598
353	0.002911818776
354	0.002878309755
355	0.002865048052
356	0.002853715872
357	0.00283167999
358	0.002816844271
359	0.002793286918
360	0.002772225643
361	0.002735743012
362	0.002721618055
363	0.002710982516
364	0.00268857415
365	0.002674301725
366	0.002647670996
367	0.002626216534
368	0.002600847876
369	0.002580314821
370	0.002558506931
371	0.002540185286
372	0.002516277093
373	0.002489920158
374	0.002465921599
375	0.002452911878
376	0.002440155611
377	0.002429905836
378	0.002402794607
379	0.002384017916
380	0.002377700205
381	0.002371530786
382	0.0023496535
383	0.002331683647
384	0.002316177187
385	0.002292671736
386	0.002271762719
387	0.002261188246
388	0.002246672998
389	0.002234819198
390	0.002224852346
391	0.002202854804
392	0.002180802374
393	0.002156488452
394	0.002136673264
395	0.002116107304
396	0.002090931722
397	0.002066696374
398	0.002043283407
399	0.00201586879
