feature,importance,model,time_horizon,time_period
month,0.0048809107,hb,1,2021-05-01
year,0.0,hb,1,2021-05-01
travel_time_to_cities_2015,0.0552603,hb,1,2021-05-01
avg_temp_z_score_lag_1,0.046796795,hb,1,2021-05-01
avg_temp_z_score_lag_2,0.014794665,hb,1,2021-05-01
avg_temp_z_score_lag_3,0.0,hb,1,2021-05-01
hot_days_z_score_lag_1,0.0,hb,1,2021-05-01
hot_days_z_score_lag_2,0.0051642843,hb,1,2021-05-01
hot_days_z_score_lag_3,0.0,hb,1,2021-05-01
cold_days_z_score_lag_1,0.0,hb,1,2021-05-01
cold_days_z_score_lag_2,0.0,hb,1,2021-05-01
cold_days_z_score_lag_3,0.0,hb,1,2021-05-01
consec_hot_days_z_score_lag_1,0.0,hb,1,2021-05-01
consec_hot_days_z_score_lag_2,0.0,hb,1,2021-05-01
consec_hot_days_z_score_lag_3,0.0,hb,1,2021-05-01
consec_cold_days_z_score_lag_1,0.0,hb,1,2021-05-01
consec_cold_days_z_score_lag_2,0.0,hb,1,2021-05-01
consec_cold_days_z_score_lag_3,0.0,hb,1,2021-05-01
precip_total_z_score_lag_1,0.0,hb,1,2021-05-01
precip_total_z_score_lag_2,0.006250564,hb,1,2021-05-01
precip_total_z_score_lag_3,0.0,hb,1,2021-05-01
wet_days_z_score_lag_1,0.0016270134,hb,1,2021-05-01
wet_days_z_score_lag_2,0.034922615,hb,1,2021-05-01
wet_days_z_score_lag_3,0.0,hb,1,2021-05-01
dry_days_z_score_lag_1,0.0,hb,1,2021-05-01
dry_days_z_score_lag_2,0.0,hb,1,2021-05-01
dry_days_z_score_lag_3,0.0,hb,1,2021-05-01
consec_wet_days_z_score_lag_1,0.0056938455,hb,1,2021-05-01
consec_wet_days_z_score_lag_2,0.0,hb,1,2021-05-01
consec_wet_days_z_score_lag_3,0.0,hb,1,2021-05-01
consec_dry_days_z_score_lag_1,0.0,hb,1,2021-05-01
consec_dry_days_z_score_lag_2,0.0,hb,1,2021-05-01
consec_dry_days_z_score_lag_3,0.0,hb,1,2021-05-01
